Temp         Pressure       HRgas
305          7.79E+06     -561.9775
305          8.03E+06     -578.7177
305          8.21E+06     -591.2406
305          8.49E+06     -610.6639
306          7.01E+06     -503.8725
306          7.18E+06     -515.7549
306          7.37E+06     -529.0086
306          7.79E+06     -558.2039
306          8.03E+06     -574.8213
306          8.21E+06     -587.252
306          8.49E+06     -606.5318
307          7.01E+06     -500.5283
307          7.18E+06     -512.325
307          7.37E+06     -525.4829
307          7.79E+06     -554.466
307          8.03E+06     -570.9619
307          8.21E+06     -583.3014
307          8.49E+06     -602.4393
308          7.01E+06     -497.2149
308          7.18E+06     -508.9269
308          7.37E+06     -521.99
308          7.79E+06     -550.7631
308          8.03E+06     -567.1389
308          8.21E+06     -579.3882
308          8.49E+06     -598.3858
309          7.01E+06     -493.9319
309          7.18E+06     -505.56
309          7.37E+06     -518.5294
309          7.79E+06     -547.0948
309          8.03E+06     -563.3517
309          8.21E+06     -575.5118
309          8.49E+06     -594.3705
310          7.01E+06     -490.6788
310          7.18E+06     -502.224
310          7.37E+06     -515.1005
310          7.79E+06     -543.4604
310          8.03E+06     -559.5998
310          8.21E+06     -571.6716
310          8.49E+06     -590.393
